unique_id;plant_sp;fungal_sp;replicate;treatment;block;Height t0;Height t1;Dead/Sick
632;GSH;RER;3;72;8;1,2;3,1;
533;KLA;JPK-132;3;60;1;;;*
458;KLA;JPK-87;6;51;1;0,4;0,4;
147;KLA;RHE;7;15;1;0,2;0,4;
220;KLA;MEV;2;24;1;0,1;0,8;
375;KLA;OMA;1;42;1;0,6;0,9;
298;KLA;MEB;2;33;1;0,5;0,7;
613;KLA;RER;5;69;1;0,6;1,6;
57;KLA;STR;7;6;1;0,3;0,4;
534;KLA;JPK-132;4;60;4;0,6;;*
144;KLA;RHE;4;15;2;0,5;1,5;
614;KLA;RER;6;69;2;0,6;1,4;
691;KLA;MGK;5;78;2;0,1;1,2;
302;KLA;MEB;6;33;2;0,6;0,6;
224;KLA;MEV;6;24;2;0,2;1;
535;KLA;JPK-132;5;60;2;0,7;2,1;
376;KLA;OMA;2;42;2;0,4;0,7;
453;KLA;JPK-87;1;51;2;0,3;0,7;
615;KLA;RER;7;69;3;0,4;1,4;
690;KLA;MGK;4;78;3;0,5;0,6;
54;KLA;STR;4;6;3;0,1;0,7;
455;KLA;JPK-87;3;51;3;0,4;0,6;
146;KLA;RHE;6;15;3;0,4;1,2;
531;KLA;JPK-132;1;60;3;0,3;1,5;
299;KLA;MEB;3;33;3;0,3;0,7;
225;KLA;MEV;7;24;3;0,5;1,1;
537;KLA;JPK-132;7;60;5;;;*
457;KLA;JPK-87;5;51;6;;;*
53;KLA;STR;3;6;2;0,1;1,1;
141;KLA;RHE;1;15;4;0,3;0,6;
377;KLA;OMA;3;42;4;0,3;0,3;
300;KLA;MEB;4;33;4;0,2;;*
303;KLA;MEB;7;33;5;;;*
223;KLA;MEV;5;24;4;0,3;0,6;
297;KLA;MEB;1;33;7;;;*
219;KLA;MEV;1;24;5;;;*
142;KLA;RHE;2;15;6;0,1;0,4;
459;KLA;JPK-87;7;51;4;0,1;0,2;
693;KLA;MGK;7;78;1;;;*
610;KLA;RER;2;69;5;0,8;0,3;
688;KLA;MGK;2;78;4;;;*
692;KLA;MGK;6;78;5;0,3;;*
56;KLA;STR;6;6;5;0,3;0,3;
687;KLA;MGK;1;78;6;0,7;;*
378;KLA;OMA;4;42;3;0,3;;*
454;KLA;JPK-87;2;51;5;0,5;0,8;
143;KLA;RHE;3;15;5;0,4;0,9;
52;KLA;STR;2;6;5;0,6;0,8;
221;KLA;MEV;3;24;6;0,6;1,8;
58;KLA;STR;8;6;6;0,3;0,4;
612;KLA;RER;4;69;6;0,7;1,1;
381;KLA;OMA;7;42;6;0,5;1,1;
532;KLA;JPK-132;2;60;6;0,3;1,7;
301;KLA;MEB;5;33;6;0,6;0,7;
380;KLA;OMA;6;42;5;;;*
611;KLA;RER;3;69;4;;;*
51;KLA;STR;1;6;4;0,2;;*
536;KLA;JPK-132;6;60;7;0,1;1,2;
609;KLA;RER;1;69;7;0,2;1,6;
379;KLA;OMA;5;42;7;0,8;1,6;
222;KLA;MEV;4;24;7;0,3;1;
145;KLA;RHE;5;15;7;0,1;1,2;
456;KLA;JPK-87;4;51;7;0,3;0,4;
689;KLA;MGK;3;78;7;0,4;0,4;
55;KLA;STR;5;6;7;0,1;;*
59;KLA;STR;9;6;8;0,4;;*
60;KLA;STR;10;6;8;;;*
309;PJA;MEB;6;34;1;1;2,8;
385;PJA;OMA;4;43;1;1,3;2;
543;PJA;JPK-132;6;61;1;2,2;4,3;
62;PJA;STR;2;7;1;1,6;2;
148;PJA;RHE;1;16;1;1,2;1,6;
616;PJA;RER;1;70;1;1,6;3;
227;PJA;MEV;2;25;1;1,1;2,9;
465;PJA;JPK-87;6;52;1;2;2,1;
699;PJA;MGK;6;79;1;1;1,9;
388;PJA;OMA;7;43;2;1,2;2,3;
544;PJA;JPK-132;7;61;2;1,1;3,9;
460;PJA;JPK-87;1;52;2;1,6;2,2;
149;PJA;RHE;2;16;2;1,5;2,2;
308;PJA;MEB;5;34;2;1,1;2,6;
622;PJA;RER;7;70;2;0,8;3,1;
231;PJA;MEV;6;25;2;1,1;2,3;
69;PJA;STR;9;7;2;0,8;2,3;
542;PJA;JPK-132;5;61;3;0,8;2,7;
65;PJA;STR;5;7;3;1,8;3;
382;PJA;OMA;1;43;3;0,5;1,5;
